filename	date	artist	title	score	likes	dislikes	views	duration
20140123_Indian - From All Purity ALBUM REVIEW.jpg	20140123	Indian 	From All Purity	8/10	607	13	47277	415
20140127_An Autumn For Crippled Children - Try Not To Destroy Everything You Love ALBUM REVIEW.jpg	20140127	An Autumn For Crippled Children 	Try Not To Destroy Everything You Love	7/10	548	16	35361	372
20140128_Have A Nice Life - The Unnatural World ALBUM REVIEW.jpg	20140128	Have A Nice Life 	The Unnatural World	8/10	1798	34	111296	511
20140129_Actress - Ghettoville ALBUM REVIEW.jpg	20140129	Actress 	Ghettoville	8/10	490	16	49543	486
20140130_Young Fathers - Dead ALBUM REVIEW.jpg	20140130	Young Fathers 	Dead	6/10	676	73	59942	428
20140211_Behemoth - The Satanist ALBUM REVIEW.jpg	20140211	Behemoth 	The Satanist	9/10	5657	171	273313	463
20140213_Step Brothers - Lord Steppington ALBUM REVIEW.jpg	20140213	Step Brothers 	Lord Steppington	8/10	558	22	45968	555
20140217_Glitch Mob - Love Death Immortality ALBUM REVIEW.jpg	20140217	Glitch Mob 	Love Death Immortality	3/10	624	66	45857	281
20140218_Xiu Xiu - Angel Guts - Red Classroom ALBUM REVIEW.jpg	20140218	Xiu Xiu - Angel Guts 	Red Classroom	7/10	565	20	51603	248
20140219_Angel Olsen - Burn Your Fire For No Witness ALBUM REVIEW.jpg	20140219	Angel Olsen 	Burn Your Fire For No Witness	5/10	272	160	37188	300
20140220_Sun Kil Moon - Benji ALBUM REVIEW.jpg	20140220	Sun Kil Moon 	Benji	9/10	2980	67	191910	627
20140223_Artificial Brain - Labyrinth Constellation ALBUM REVIEW.jpg	20140223	Artificial Brain 	Labyrinth Constellation	8/10	1523	31	75688	505
20140225_Sunn O))) & Ulver - Terrestrials ALBUM REVIEW.jpg	20140225	Sunn O))) & Ulver 	Terrestrials	6/10	573	24	53282	450
20140225_Temples - Sun Structures ALBUM REVIEW.jpg	20140225	Temples 	Sun Structures	5/10	403	96	35475	299
20140226_Schoolboy Q - Oxymoron ALBUM REVIEW.jpg	20140226	Schoolboy Q 	Oxymoron	7/10	4348	209	371944	528
20140227_St. Vincent - Self-Titled ALBUM REVIEW.jpg	20140227	St. Vincent - Self	Titled	7/10	1408	70	129055	516
20140303_Beck - Morning Phase ALBUM REVIEW.jpg	20140303	Beck 	Morning Phase	4/10	1042	650	124408	442
20140309_Rick Ross - Mastermind ALBUM REVIEW.jpg	20140309	Rick Ross 	Mastermind	uhhhhhhhhh/10	5659	482	231805	193
20140310_White Suns - Totem ALBUM REVIEW.jpg	20140310	White Suns 	Totem	8/10	472	12	43450	512
20140311_Real Estate - Atlas ALBUM REVIEW.jpg	20140311	Real Estate 	Atlas	3/10	578	535	60798	279
20140319_Pharrell - G I R L ALBUM REVIEW.jpg	20140319	Pharrell 	G I R L	3/10	2109	244	159427	464
20140320_La Dispute - The Rooms of the House ALBUM REVIEW.jpg	20140320	La Dispute 	The Rooms of the House	7/10	1313	31	96867	561
20140322_Freddie Gibbs & Madlib - Piñata ALBUM REVIEW.jpg	20140322	Freddie Gibbs & Madlib 	Piñata	9/10	8264	156	470016	807
20140323_Tycho - Awake ALBUM REVIEW.jpg	20140323	Tycho 	Awake	6/10	877	83	69139	262
20140324_The War On Drugs - Lost In The Dream ALBUM REVIEW.jpg	20140324	The War On Drugs 	Lost In The Dream	7/10	758	53	86540	466
20140325_Big Ups - Eighteen Hours of Static ALBUM REVIEW.jpg	20140325	Big Ups 	Eighteen Hours of Static	8/10	483	6	36068	367
20140325_Future Islands - Singles ALBUM REVIEW.jpg	20140325	Future Islands 	Singles	7/10	634	45	61103	497
20140326_Liars - Mess ALBUM REVIEW.jpg	20140326	Liars 	Mess	8/10	1085	96	105262	552
20140326_Skrillex - Recess ALBUM REVIEW.jpg	20140326	Skrillex 	Recess	5/10	2903	227	232368	608
20140327_Onyx - Wakedafucup ALBUM REVIEW ft. Myke C-Town.jpg	20140327	Onyx 	Wakedafucup	7/10	1190	29	55503	836
20140327_Wild Beasts - Present Tense ALBUM REVIEW.jpg	20140327	Wild Beasts 	Present Tense	7/10	236	27	25295	471
20140328_YG - My Krazy Life ALBUM REVIEW ft. Big Ghost.jpg	20140328	YG 	My Krazy Life		1655	359	119089	161
20140401_PLANNINGTOROCK - All Love's Legal ALBUM REVIEW.jpg	20140401	PLANNINGTOROCK 	All Love's Legal	10/10	769	23	56130	531
20140402_Mac Demarco - Salad Days ALBUM REVIEW.jpg	20140402	Mac Demarco 	Salad Days	5/10	1684	3424	211569	388
20140402_Nocando - Jimmy The Burnout ALBUM REVIEW.jpg	20140402	Nocando 	Jimmy The Burnout	6/10	241	10	21253	519
20140403_Mø - No Mythologies To Follow ALBUM REVIEW.jpg	20140403	Mø 	No Mythologies To Follow	6/10	432	34	33216	377
20140403_White Hinterland - Baby ALBUM REVIEW.jpg	20140403	White Hinterland 	Baby	8/10	293	13	28552	436
20140404_Timber Timbre - Hot Dreams ALBUM REVIEW.jpg	20140404	Timber Timbre 	Hot Dreams	8/10	709	24	59513	739
20140405_Tony Molina - Dissed and Dismissed ALBUM REVIEW.jpg	20140405	Tony Molina 	Dissed and Dismissed	7/10	487	15	33918	392
20140407_Avey Tare's Slasher Flicks - Enter The Slasher House ALBUM REVIEW.jpg	20140407	Avey Tare's Slasher Flicks 	Enter The Slasher House	5/10	340	87	38542	462
20140407_OFF! - Wasted Years ALBUM REVIEW.jpg	20140407	OFF! 	Wasted Years	7/10	509	19	39385	405
20140408_Cloud Nothings - Here And Nowhere Else ALBUM REVIEW ft. Sami Jarroush.jpg	20140408	Cloud Nothings 	Here And Nowhere Else	6/10	322	235	44783	702
20140408_Sisyphus - Self-Titled ALBUM REVIEW.jpg	20140408	Sisyphus - Self	Titled	7/10	385	14	29434	390
20140409_Ratking - So It Goes ALBUM REVIEW.jpg	20140409	Ratking 	So It Goes	8/10	1137	42	106250	569
